district_number,district_name,place,total_incidents,total_victims
2D,BETHESDA,Retail - Department/Discount Store,1496,1510.0
2D,BETHESDA,Retail - Drug Store/Pharmacy,768,773.0
2D,BETHESDA,Retail - Dry Cleaner,21,21.0
2D,BETHESDA,Retail - Hardware,187,187.0
2D,BETHESDA,Retail - Jewelry,85,86.0
2D,BETHESDA,Retail - Mall,2196,2207.0
2D,BETHESDA,Retail - Other,944,950.0
2D,BETHESDA,Retail - Salon/Spa,149,149.0
2D,BETHESDA,Retail - Sporting Goods,98,98.0
2D,BETHESDA,Retail - Video Store,3,3.0
2D,BETHESDA,School - College/University,8,8.0
2D,BETHESDA,School - Elementary/Secondary,1205,1240.0
2D,BETHESDA,School/College - DO NOT USE,755,758.0
2D,BETHESDA,Shelter-Mission/Homeless,481,498.0
2D,BETHESDA,Street - Alley,71,73.0
2D,BETHESDA,Street - Bus Stop,215,219.0
2D,BETHESDA,Street - Commercial,1616,1679.0
2D,BETHESDA,Street - In vehicle,3483,3513.0
2D,BETHESDA,Street - Other,1055,1082.0
2D,BETHESDA,Street - Residential,4393,4426.0
2D,BETHESDA,Theater,46,48.0
2D,BETHESDA,Wooded Area,57,58.0
3D,SILVER SPRING,Abandoned/Condemned Structures,4,4.0
3D,SILVER SPRING,Air/Bus/Train/Metro Terminal,306,309.0
3D,SILVER SPRING,Arena/Stadium/Fairgrounds/Coliseum,9,10.0
3D,SILVER SPRING,Atm Separate From Bank,7,7.0
3D,SILVER SPRING,Auto Dealership,451,454.0
3D,SILVER SPRING,Auto Repair,151,152.0
3D,SILVER SPRING,Bank - ATM,353,355.0
3D,SILVER SPRING,Bank/S&L/Credit Union,286,288.0
3D,SILVER SPRING,Bar/Night Club,442,480.0
3D,SILVER SPRING,Check Cashing Est.,46,46.0
3D,SILVER SPRING,Church/Synagogue/Temple,229,230.0
3D,SILVER SPRING,Commercial - Industrial park,57,58.0
3D,SILVER SPRING,Commercial - Office Building,941,947.0
3D,SILVER SPRING,Community Center,41,41.0
3D,SILVER SPRING,Construction Site,155,155.0
3D,SILVER SPRING,Convenience Store,1917,1947.0
3D,SILVER SPRING,Cyberspace,323,323.0
3D,SILVER SPRING,Daycare Facility,18,18.0
3D,SILVER SPRING,Doctor/Dentist/Vet Office,189,195.0
3D,SILVER SPRING,Field/ Open Space,48,49.0
3D,SILVER SPRING,Gas Station,710,717.0
3D,SILVER SPRING,Government Building,560,567.0
3D,SILVER SPRING,Grocery/Supermarket,2214,2234.0
3D,SILVER SPRING,Hospital/Emergency Care Center,647,677.0
3D,SILVER SPRING,Hotel/Motel/Etc.,738,759.0
3D,SILVER SPRING,Industrial Site,2,2.0
3D,SILVER SPRING,Jail/Prison,4,4.0
3D,SILVER SPRING,Lake/Waterway,4,4.0
3D,SILVER SPRING,Laundromat,104,106.0
3D,SILVER SPRING,Library,248,253.0
3D,SILVER SPRING,Liquor Store - Beer & Wine,218,222.0
3D,SILVER SPRING,Liquor Store - County,172,174.0
3D,SILVER SPRING,Nursery,23,23.0
3D,SILVER SPRING,Other/Unknown,5777,5782.0
3D,SILVER SPRING,Park,404,414.0
3D,SILVER SPRING,Parking Garage - Commercial,454,462.0
3D,SILVER SPRING,Parking Garage - County,1455,1460.0
3D,SILVER SPRING,Parking Garage - Metro,41,42.0
3D,SILVER SPRING,Parking Garage - Other,199,199.0
3D,SILVER SPRING,Parking Garage - Residential,1187,1189.0
3D,SILVER SPRING,Parking Lot - Church,135,136.0
3D,SILVER SPRING,Parking Lot - Commercial,3091,3169.0
3D,SILVER SPRING,Parking Lot - County,389,393.0
3D,SILVER SPRING,Parking Lot - Metro,42,43.0
3D,SILVER SPRING,Parking Lot - Other,590,596.0
3D,SILVER SPRING,Parking Lot - Park & Ride,71,71.0
3D,SILVER SPRING,Parking Lot - Rec Center,68,72.0
3D,SILVER SPRING,Parking Lot - Residential,7626,7709.0
3D,SILVER SPRING,Parking Lot - School,220,224.0
3D,SILVER SPRING,Pawn Shop,14,14.0
3D,SILVER SPRING,Pedestrian Tunnel,5,5.0
3D,SILVER SPRING,Pool,49,50.0
3D,SILVER SPRING,Recreation Center,206,207.0
3D,SILVER SPRING,Rental Storage Facility,87,87.0
3D,SILVER SPRING,Residence - Apartment/Condo,11494,12097.0
3D,SILVER SPRING,Residence - Apt Ofc/Storage,347,354.0
3D,SILVER SPRING,Residence - Carport,42,42.0
3D,SILVER SPRING,Residence - Driveway,2421,2428.0
3D,SILVER SPRING,Residence - Garage,194,197.0
